source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,10384,1000,francs,1861,toscane (livourne),angleterre,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,9666,1000,francs,1861,toscane (livourne),france,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,3510,1000,francs,1861,toscane (livourne),autriche (empire),exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,2340,1000,francs,1861,toscane (livourne),hollande et belgique,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,5816,1000,francs,1861,toscane (livourne),russie,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,2776,1000,francs,1861,toscane (livourne),egypte,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,3740,1000,francs,1861,toscane (livourne),turquie,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,43219,1000,francs,1861,toscane (livourne),angleterre,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,32204,1000,francs,1861,toscane (livourne),france,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,2251,1000,francs,1861,toscane (livourne),autriche (empire),imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,15078,1000,francs,1861,toscane (livourne),hollande et belgique,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,18118,1000,francs,1861,toscane (livourne),russie,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,7549,1000,francs,1861,toscane (livourne),egypte,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Italie_Fc2,4515,1000,francs,1861,toscane (livourne),turquie,imp,?,,,,,,
